,companies,prices,ratings,locations,published_by,floors,bedrooms,construction_status,Area_sq_ft
0,"
Empire Meadows
",63.7 Lac - 80.3 Lac,"

","
in Miyapur, NH 9
, Hyderabad
","
by Empire Meadows Pvt. Ltd.
",8 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1245 - 1250 sqft
"
1,"
SMR Vinay Iconia
",1.10 Cr - 1.89 Cr,,"
in Kondapur
, Hyderabad
","
by SMR Holdings
",19 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1360 - 1535 sqft
"
2,"
Triumph Villas
",3.26 Cr - 3.66 Cr,,"
in Kismatpur, Outer Ring Road
, Hyderabad
","
by Vaishnavi Estates Pvt. Ltd.
",2 Floor Plan,"
3 BHK
Villa



","
Under Construction
","
3264 - 3661 sqft
"
3,"
Shree Rath Apartments
",52.5 Lac - 1.08 Cr,,"
in Nizampet
, Hyderabad
","
by Unnati Build Tech
",13 Floor Plan,"
2 BHK
Flat



","
Possession in 2025
","
955 - 1025 sqft
"
4,"
Aakriti Miro
",88.3 Lac - 1.24 Cr,,"
in Nallagandla, Serilingampally
, Hyderabad
","
by Aakriti Housing
",19 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1318 - 1400 sqft
"
5,"
Sri Hemadurga Sivahills
",88.4 Lac - 1.42 Cr,,"
in Puppalaguda
, Hyderabad
","
by BRC Infra Pvt. Ltd.
",15 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1230 sqft
"
6,"
Vishnu Vistara
",1.47 Cr - 1.60 Cr,,"
in Hitech City
, Hyderabad
","
by Vishnu Group
",5 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1730 - 1890 sqft
"
7,"
Ridge Towers
",72 Lac - 96.1 Lac,,"
in Balanagar
, Hyderabad
","
by Aigl Properties
",13 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1076 sqft
"
8,"
PBEL City
",90 Lac Onwards,"

","
in Appa junction
, Hyderabad
","
by Indis
",43 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1171 sqft
(Carpet Area)
"
9,"
Lanco Hills
",1.50 Cr - 1.55 Cr,"

","
in Manikonda, Outer Ring Road
, Hyderabad
","
by Lanco Hills Technology Park Pvt. Ltd.
",21 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1580 - 2080 sqft
(Carpet Area)
"
10,"
Jains Carlton Creek
",96 Lac - 1.01 Cr,"

","
in Gachibowli
, Hyderabad
","
by Jain Housing & Constructions Ltd.
",15 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1380 sqft
"
11,"
Sahiti Karthikeya Panorama
",1.10 Cr - 1.35 Cr,,"
in Kakatiya Hills, Nizampet
, Hyderabad
","
by Sahiti Constructions
",8 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1200 - 1320 sqft
(Carpet Area)
"
12,"
Provident Kenworth
",74 Lac Onwards,,"
in Rajendra Nagar, Outer Ring Road
, Hyderabad
","
by Provident Housing Ltd.
",19 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1100 sqft
(Carpet Area)
"
13,"
Green Grace
",2.40 Cr - 2.48 Cr,,"
in Gachibowli
, Hyderabad
","
by S and S Green Projects Pvt. Ltd.
",11 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
3050 sqft
(Carpet Area)
"
14,"
Jains Four Seasons
",7.25 Cr Onwards,,"
in Kokapet, Outer Ring Road
, Hyderabad
","
by JAIN PROMOTERS & BUILDERS PVT. LTD.
",9 Floor Plan,"
4 BHK
Villa



","
Ready To Move
","
4875 sqft
(Carpet Area)
"
15,"
Aditya Empress Towers
",1.20 Cr - 1.51 Cr,,"
in Shaikpet
, Hyderabad
","
by Aditya Housing And Infrastructure Development
",9 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1600 - 1900 sqft
(Carpet Area)
"
16,"
IRA M3
",49.7 Lac Onwards,,"
in Kollur, Outer Ring Road
, Hyderabad
","
by IRA Realty
",1 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1105 sqft
"
17,"
Concrete Vivanta
",68.7 Lac - 1.19 Cr,,"
in Madinaguda, Hafeezpet, NH 9
, Hyderabad
","
by Concrete Infra
",2 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1165 - 1320 sqft
"
18,"
Reliance Sunshine
",30 Lac - 31 Lac,,"
in Isnapur, Outer Ring Road
, Hyderabad
","
by Srinivasa Builders
",6 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
940 sqft
"
19,"
Bollineni Bion
",1.83 Cr - 3.36 Cr,,"
in Kondapur
, Hyderabad
","
by BSCPL Infrastructure Ltd
",5 Floor Plan,"
3 BHK
Flat



","
Possession in 2025
","
1840 - 2290 sqft
"
20,"
EVK Avasa
",31.2 Lac - 72.5 Lac,,"
in Kollur, Outer Ring Road
, Hyderabad
","
by EVK Projects Pvt Ltd. 
",16 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1040 - 1170 sqft
"
21,"
GMR Springfields
",40 Lac - 54.9 Lac,,"
in Kompally
, Hyderabad
","
by Alpine Infratech
",,"
2 BHK
Flat



","
Under Construction
","
1120 sqft
"
22,"
AMEYA
",48.4 Lac - 1 Cr,,"
in Miyapur, NH 9
, Hyderabad
","
by Aspire Spaces Private Limited
",6 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1210 - 1330 sqft
"
23,"
SR Fortune City
",63.3 Lac - 96.3 Lac,,"
in Miyapur, NH 9
, Hyderabad
","
by Sri Sai Constructions And Abhiram Constructions
",3 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1150 - 1250 sqft
"
24,"
Mayfair Apartments
",82 Lac - 1.44 Cr,,"
in Tellapur, Outer Ring Road
, Hyderabad
","
by Greenmark Developers
",14 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1751 - 2083 sqft
"
25,"
ASBL Spectra
",1.28 Cr - 1.80 Cr,,"
in Financial District, Nanakram Guda
, Hyderabad
","
by Ashoka Builders India Private Limited
",4 Floor Plan,"
3 BHK
Flat



","
Possession in 2025
","
1980 - 2220 sqft
"
26,"
Urbanrise On Cloud 33
",48.8 Lac - 1.26 Cr,,"
in Bachupally
, Hyderabad
","
by Urbanrise
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2026
","
1110 sqft
"
27,"
Hallmark Treasor
",1.23 Cr - 3.55 Cr,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by Hallmark Builders
",4 Floor Plan,"
3 BHK
Flat



","
Possession in 2024
","
1765 - 2540 sqft
"
28,"
Solitaire Unity
",91.9 Lac - 1.67 Cr,,"
in Kondapur
, Hyderabad
","
by Technopolis Construction Company Pvt. Ltd.
",26 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1225 - 1615 sqft
"
29,"
Titania
",1.19 Cr - 1.70 Cr,,"
in Kondapur
, Hyderabad
","
by GHR Infra
",9 Floor Plan,"
3 BHK
Flat



","
Possession in 2023
","
1766 - 2451 sqft
"
30,"
Codename Central Park
",61.9 Lac - 86.3 Lac,,"
in Ameenpur
, Hyderabad
","
by Urbanrise
",8 Floor Plan,"
2 BHK
Flat



","
Possession in 2025
","
1254 - 1417 sqft
"
31,"
Rami Reddy Towers
",74.5 Lac - 1.62 Cr,,"
in Alkapur Township, Manikonda, Outer Ring Road
, Hyderabad
","
by Anuhar Homes Pvt. Ltd.
",8 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1284 - 1440 sqft
"
32,"
Vasavi Atlantis
",83.7 Lac - 2.25 Cr,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by Vasavi Constructions LLP
",17 Floor Plan,"
2 BHK
Flat



","
Possession in 2025
","
1250 - 1610 sqft
"
33,"
Jewel Heights
",87.5 Lac - 1.29 Cr,,"
in Kukatpally, NH 9
, Hyderabad
","
by Sri Sai Tirumala Constructions Pvt. Ltd.
",8 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1250 - 1325 sqft
"
34,"
Sumadhura Horizon
",97 Lac - 2.14 Cr,,"
in Kondapur
, Hyderabad
","
by Sumadhura Infracon Pvt. Ltd.
",10 Floor Plan,"
3 BHK
Flat



","
Possession in 2023
","
2060 - 2710 sqft
"
35,"
Sri Ram Garden By Jains
",1.33 Cr - 3.59 Cr,,"
in Suchitra Circle
, Hyderabad
","
by Jain Constructions
",9 Floor Plan,"
3 BHK
Flat



","
Possession in 2025
","
1910 - 2350 sqft
"
36,"
Ornate
",35.1 Lac - 66.4 Lac,,"
in Kollur, Outer Ring Road
, Hyderabad
","
by Sri Aditya Squares
",2 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1171 - 2000 sqft
"
37,"
Marams Garlapati Homes
",40.6 Lac - 75 Lac,,"
in Adibatla
, Hyderabad
","
by Maram Infra Projects Pvt. Ltd.
",2 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1068 - 1338 sqft
"
38,"
Shantiniketan
",50 Lac - 69.5 Lac,,"
in Manneguda
, Hyderabad
","
by Vijetha Group
",7 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1190 - 1315 sqft
"
39,"
Sapphire
",51.7 Lac - 85.3 Lac,,"
in Tellapur, Outer Ring Road
, Hyderabad
","
by Fortune Green Homes
",17 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1033 - 1305 sqft
"
40,"
Muppas Melody
",61.6 Lac - 1.06 Cr,,"
in Tellapur, Outer Ring Road
, Hyderabad
","
by Muppa Projects India Pvt. Ltd.
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1010 sqft
"
41,"
Ecopolitan
",70 Lac - 1.55 Cr,,"
in Nagole
, Hyderabad
","
by Maruthi Rudra Vijetha Projects
",2 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1250 - 1400 sqft
"
42,"
Jewel Crest
",1.35 Cr - 1.70 Cr,,"
in Shaikpet
, Hyderabad
","
by SST Builders LLP
",3 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1700 - 2100 sqft
"
43,"
Solitaire Heights
",1.58 Cr - 1.84 Cr,,"
in Ameerpet, NH 9
, Hyderabad
","
by Sravanthi Constructions Pvt. Ltd.
",11 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1761 - 2047 sqft
"
44,"
Aura
",30 Lac - 64.7 Lac,,"
in Velimela
, Hyderabad
","
by BhuvanTeza Infrastructures LLP
",10 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1145 - 1265 sqft
"
45,"
ASR Homes
",38 Lac Onwards,,"
in Krishna Reddy Pet
, Hyderabad
","
by ASR Infra
",,"
2 BHK
Flat



","
Possession in 2023
","
1150 sqft
"
46,"
Myra
",60.9 Lac - 1.04 Cr,,"
in Kompally
, Hyderabad
","
by Sophists Technologies Private Limited
",11 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1290 - 1295 sqft
"
47,"
Merlion Galaxia
",61.2 Lac - 92.6 Lac,,"
in Pragathi Nagar, Kukatpally
, Hyderabad
","
by Merlion Builders
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1275 sqft
"
48,"
Cannys Forest Edge
",61.7 Lac - 1.05 Cr,,"
in Bachupally
, Hyderabad
","
by Canny Life Spaces Pvt Ltd
",6 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1285 - 1390 sqft
"
49,"
SNR The Elite
",68.4 Lac - 1.20 Cr,,"
in Gopanapalli
, Hyderabad
","
by SNR Avenues
",7 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1290 sqft
"
50,"
Hallmark Sunnyside
",72 Lac - 1.29 Cr,,"
in Manchirevula, Outer Ring Road
, Hyderabad
","
by Hallmark Builders
",8 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1210 - 1255 sqft
"
51,"
Vertex Pristine
",82.5 Lac - 1.31 Cr,,"
in Hyder Nagar, NH 9
, Hyderabad
","
by Vertex Homes Pvt. Ltd.
",9 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1270 - 1285 sqft
"
52,"
Aparna Sarovar Zicon
",86.8 Lac - 1.28 Cr,,"
in Nallagandla, Serilingampally
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",9 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1240 - 1310 sqft
"
53,"
Silver Springs
",47 Lac - 47.9 Lac,,"
in Patancheru
, Hyderabad
","
by Durga Avenues
",2 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1045 - 1065 sqft
"
54,"
Urbanrise The Happening Heights
",47.9 Lac - 51.2 Lac,,"
in Dundigal, Outer Ring Road
, Hyderabad
","
by Urbanrise
",3 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1174 sqft
"
55,"
Suraksha Lake Eden
",51 Lac - 59.1 Lac,,"
in Gundlapochampally, Outer Ring Road
, Hyderabad
","
by Bensup Infra
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1200 - 1240 sqft
"
56,"
SR Pragathi Residency
",51 Lac - 61.8 Lac,,"
in Miyapur, NH 9
, Hyderabad
","
by SR Constructions
",3 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
960 - 1175 sqft
"
57,"
DNR Ashoka Hill Park
",60 Lac - 82.5 Lac,,"
in Miyapur, NH 9
, Hyderabad
","
by S R Construction
",8 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1200 - 1230 sqft
"
58,"
Vayun Meadows Block C
",60.7 Lac - 1.02 Cr,,"
in Kapra
, Hyderabad
","
by Anantha Infra
",10 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1265 - 2130 sqft
"
59,"
West City Lake View
",61 Lac - 79.5 Lac,,"
in Miyapur, NH 9
, Hyderabad
","
by S R Construction
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1220 - 1280 sqft
"
60,"
Lakshmis Emperia
",70.2 Lac - 1.32 Cr,,"
in Miyapur, NH 9
, Hyderabad
","
by Lakshmi Infra Projects LLP
",2 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1171 - 2000 sqft
"
61,"
SR Madhava Reddy Residency
",74 Lac Onwards,,"
in Miyapur, NH 9
, Hyderabad
","
by S R Construction
",1 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1480 sqft
"
62,"
My Space
",1.15 Cr - 1.36 Cr,,"
in Pragathi Nagar, Kukatpally
, Hyderabad
","
by Makuta Developers & Infrastructure Pvt. Ltd.
",18 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
2140 - 2400 sqft
"
63,"
Venice City
",1.53 Cr - 4.35 Cr,,"
in Kollur, Outer Ring Road
, Hyderabad
","
by Mirchi Developers
",,"
3 BHK
Villa



","
Possession in 2022
","
2230 - 2599 sqft
"
64,"
Jewel Garden
",99.2 Lac - 1.10 Cr,,"
in Miyapur, NH 9
, Hyderabad
","
by Sri Sai Tirumala Constructions Pvt. Ltd.
",6 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1575 - 1750 sqft
"
65,"
Happy Homes I
",27 Lac - 49 Lac,,"
in Shamirpet
, Hyderabad
","
by Bhuva Teza Infra Projects Ltd
",,"
2 BHK
Flat



","
Possession in 2024
","
1127 - 1215 sqft
"
66,"
Kalpavriksha
",28.1 Lac - 59 Lac,,"
in Bahadurpally
, Hyderabad
","
by Shanta Sriram Constructions Private Limited & P Mangatram Developers LLP 
",20 Floor Plan,"
1 BHK
Flat



","
Possession in 2024
","
617 - 1078 sqft
"
67,"
Hamlet
",1.10 Cr - 1.55 Cr,,"
in Medchal
, Hyderabad
","
by Vijetha Group
",3 Floor Plan,"
3 BHK
Villa



","
Possession in 2022
","
1850 - 2460 sqft
"
68,"
Rasun Elysian
",2 Cr - 2.50 Cr,,"
in Kondapur
, Hyderabad
","
by Rasun Group 
",8 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1825 - 2275 sqft
"
69,"
Shivantha Gardenia
",28 Lac - 52.8 Lac,,"
in Isnapur, Outer Ring Road
, Hyderabad
","
by SHIVANTHA INFRA 
",2 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
895 sqft
"
70,"
VB City
",42.3 Lac - 45.5 Lac,,"
in Kompally
, Hyderabad
","
by Indis
",2 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
842 sqft
"
71,"
Golden Exotica
",49 Lac Onwards,,"
in Kadthal
, Hyderabad
","
by Sri Aditya Squares
",,"
3 BHK
Villa



","
Possession in 2024
","
1800 sqft
"
72,"
Reliance Jubilee
",63.3 Lac - 1.08 Cr,,"
in Toli Chowki
, Hyderabad
","
by Reliance Builders
",20 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
746 - 1009 sqft
(Carpet Area)
"
73,"
Gottumukulas Prem Sarovar Emerald
",1.05 Cr Onwards,,"
in Kukatpally, NH 9
, Hyderabad
","
by Prem Constructions
",5 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1629 sqft
"
74,"
Vertex Kingston Park
",,,"
in Nallagandla, Serilingampally
, Hyderabad
","
by Vertex Homes Pvt. Ltd.
",6 Floor Plan,"
4 BHK
Villa



","
Possession in 2023
","
4020 - 4395 sqft
"
75,"
Aishwarya Icon
",42.2 Lac - 61.2 Lac,,"
in Muthangi, NH 9
, Hyderabad
","
by Krishnateja Constructions
",9 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1055 - 1115 sqft
"
76,"
Suvela Sai Shradha
",85.4 Lac - 1.01 Cr,,"
in Kondapur
, Hyderabad
","
by Suvela Projects Pvt. Ltd.
",2 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1225 sqft
"
77,"
Sri Villas
",1 Cr - 30 Cr,,"
in Gachibowli
, Hyderabad
","
by Sri Villas
",,"
3 BHK
Villa



","
Ready To Move
","
2500 - 9000 sqft
"
78,"
NCC Urban One
",1.21 Cr - 2.64 Cr,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by NCC Urban Infrastructure Ltd
",21 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1535 sqft
"
79,"
RNP 1
",1.32 Cr - 1.94 Cr,,"
in Kondapur
, Hyderabad
","
by RNP Stellar Projects LLP
",14 Floor Plan,"
3 BHK
Flat



","
Possession in 2023
","
1585 - 2285 sqft
"
80,"
Sri Tirumala Millennium
",48 Lac - 84.6 Lac,,"
in Mallapur
, Hyderabad
","
by EAPL Group
",18 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1089 - 1179 sqft
"
81,"
Brigade Citadel
",79.3 Lac - 1.31 Cr,,"
in Moti Nagar
, Hyderabad
","
by Brigade Enterprises Ltd.
",6 Floor Plan,"
2 BHK
Flat



","
Possession in 2025
","
1177 - 1366 sqft
"
82,"
Aparna Kanopy Yellow Bells
",,,"
in Gundlapochampally, Outer Ring Road
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",7 Floor Plan,"
2 BHK
Flat



","
Possession in 2025
","
1294 - 1362 sqft
"
83,"
Cozy Essence Elite
",40.3 Lac - 80.7 Lac,,"
in Dullapally, NH 7
, Hyderabad
","
by Cozy Essence Builders
",16 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1034 - 1485 sqft
"
84,"
Canny Park Edge
",41.9 Lac - 75.2 Lac,,"
in Pragathi Nagar, Kukatpally
, Hyderabad
","
by Canny Life Spaces Pvt Ltd
",5 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
930 sqft
"
85,"
GKRS Bliss I
",45.6 Lac - 81.3 Lac,,"
in Bandlaguda Jagir
, Hyderabad
","
by GKRS Properties LLP
",4 Floor Plan,"
1 BHK
Flat



","
Possession in 2022
","
970 - 1057 sqft
"
86,"
VG Homes
",46.2 Lac - 63 Lac,,"
in Kompally
, Hyderabad
","
by Venkata Gajanana Developers
",5 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1100 - 1230 sqft
"
87,"
Jewels County
",47.6 Lac - 83.7 Lac,,"
in Patancheru
, Hyderabad
","
by Asrithas Group
",21 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1134 - 1446 sqft
"
88,"
APR Praveens Higheria
",48.2 Lac - 68 Lac,,"
in Patancheru
, Hyderabad
","
by APR GROUP
",12 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1205 - 1270 sqft
"
89,"
Kotechs Signature
",50 Lac - 63 Lac,,"
in Mallampet, Outer Ring Road
, Hyderabad
","
by Kotech Projects
",10 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1111 - 1264 sqft
"
90,"
IRA Aspirations
",50 Lac - 1.05 Cr,,"
in Kollur, Outer Ring Road
, Hyderabad
","
by IRA Realty
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1295 sqft
"
91,"
4 Blocks
",52.8 Lac - 1 Cr,,"
in Kompally
, Hyderabad
","
by Beams and Columns Builders Private Limited
",18 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1055 - 1360 sqft
"
92,"
Srinidhis Indraprastha Residency
",54.1 Lac - 71.4 Lac,,"
in Bachupally
, Hyderabad
","
by Srinidhi Constructions
",9 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1150 - 1450 sqft
"
93,"
GR Mayoora
",55 Lac - 81.4 Lac,,"
in Suchitra Circle
, Hyderabad
","
by GR Builders & Constructions
",8 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1100 - 1195 sqft
"
94,"
Sri Tirumala Pride
",55.2 Lac - 79.2 Lac,,"
in Sainikpuri
, Hyderabad
","
by Rathi Constructions
",12 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1150 - 1550 sqft
"
95,"
VISTA Happy Living
",55.2 Lac - 85.1 Lac,,"
in Kompally
, Hyderabad
","
by Sunyuga Infra Pvt. Ltd.
",15 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1200 - 1220 sqft
"
96,"
Swathis Skyline
",55.3 Lac - 77.9 Lac,,"
in Gajularamaram
, Hyderabad
","
by Swathi Constructions & Developers
",20 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1152 - 1249 sqft
"
97,"
Bhuvi Residency
",55.5 Lac - 76.1 Lac,,"
in Bachupally
, Hyderabad
","
by S V S Square Spaces LLP
",3 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1180 sqft
"
98,"
Elegance
",58.1 Lac - 1.01 Cr,,"
in Kompally
, Hyderabad
","
by Sunyuga Infra Pvt. Ltd.
",9 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1290 sqft
"
99,"
The Ananda
",61.1 Lac - 87.4 Lac,,"
in Pocharam, NH 2 2
, Hyderabad
","
by Sahasram Developers LLP
",6 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1358 - 1364 sqft
"
100,"
Riddhis Pramukh Elegance
",61.3 Lac - 1.70 Cr,,"
in Kompally
, Hyderabad
","
by Riddhi Builders
",3 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1135 - 1230 sqft
"
101,"
Tulasi Elegnz
",64.4 Lac - 85.7 Lac,,"
in Pragathi Nagar, Kukatpally
, Hyderabad
","
by Tulasi Infrastructures
",2 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1170 sqft
"
102,"
Aakriti Cyan
",64.5 Lac - 83.4 Lac,,"
in Tellapur, Outer Ring Road
, Hyderabad
","
by Aakriti Housing
",,"
2 BHK
Flat



","
Possession in 2024
","
1291 - 1399 sqft
"
103,"
Wood Land Residency
",67 Lac - 69.5 Lac,,"
in Madinaguda, Hafeezpet, NH 9
, Hyderabad
","
by S R Construction
",2 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1285 sqft
"
104,"
Infocity Eyrie
",68 Lac - 1.02 Cr,,"
in Ramachandra Puram, NH 9
, Hyderabad
","
by Infocity Builders
",,"
2 BHK
Flat



","
Possession in 2022
","
1260 - 1450 sqft
"
105,"
Sai Prakruthi
",68.3 Lac - 81.4 Lac,,"
in Kompally
, Hyderabad
","
by Sai Neeraj Constructions India Pvt. Ltd
",1 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1380 - 1580 sqft
"
106,"
Nature Ville
",69 Lac - 92.3 Lac,,"
in Suchitra Circle
, Hyderabad
","
by Nayan Infra
",9 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1230 - 1260 sqft
"
107,"
Risinia Skyon
",69.4 Lac - 1.06 Cr,,"
in Bachupally
, Hyderabad
","
by Risinia Builders
",8 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1388 sqft
"
