,companies,prices,ratings,locations,published_by,floors,bedrooms,construction_status,Area_sq_ft
217,"
RR Tropicana
",73.2 Lac - 1.25 Cr,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by RR Builders
",11 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1220 - 1285 sqft
"
218,"
Riddhis Saphire
",1.05 Cr - 1.43 Cr,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by Riddhi Infra Estate LLP
",9 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1510 - 2055 sqft
"
219,"
Saket Bhusatva
",1.52 Cr - 3.06 Cr,"

","
in Kompally
, Hyderabad
","
by Saket Group
",5 Floor Plan,"
3 BHK
Villa



","
Ready To Move
","
2113 - 3880 sqft
"
220,"
SMR Vinay Casa Carino
",6.46 Cr - 7.67 Cr,,"
in Rajendra Nagar, Outer Ring Road
, Hyderabad
","
by SMR Holdings
",9 Floor Plan,"
5 BHK
Villa



","
Under Construction
","
4310 - 5116 sqft
"
221,"
The Bodhivriksha
",82 Lac - 1.13 Cr,,"
in Appa junction
, Hyderabad
","
by Shanta Sriram Constructions Private Limited & P Mangatram Developers LLP 
",7 Floor Plan,"
3 BHK
Builder Floor



","
Possession in 2025
","
1294 - 1905 sqft
"
222,"
Green Valley Villas
",84 Lac - 1.02 Cr,,"
in Shamirpet
, Hyderabad
","
by Laxmi Infratech
",4 Floor Plan,"
2 BHK
House



","
Ready To Move
","
2038 sqft
"
223,"
Aliens Space Station
",80.1 Lac - 1.10 Cr,,"
in Gachibowli
, Hyderabad
","
by Aliens Group
",28 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1432 sqft
"
224,"
NR Infra Ultimus
",84.5 Lac - 1.14 Cr,,"
in Patancheru
, Hyderabad
","
by NR Infra
",8 Floor Plan,"
2 BHK
House



","
Ready To Move
","
1920 - 2500 sqft
"
225,"
Hillton
",34.7 Lac - 76.5 Lac,,"
in Chandanagar, NH 9
, Hyderabad
","
by Jaya Group
",2 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
204 - 897 sqft
(Carpet Area)
"
226,"
Rainbow Vistas Rock Gardens
",1.85 Cr - 1.87 Cr,,"
in Hitech City
, Hyderabad
","
by Cybercity Builders and Developers Pvt. Ltd.
",22 Floor Plan,"
4 BHK
Flat



","
Possession in 2022
","
2795 sqft
"
227,"
Vasavi Urban
",41 Lac - 52 Lac,,"
in Bachupally
, Hyderabad
","
by Vasavi Group
",3 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
578 - 950 sqft
(Carpet Area)
"
228,"
My Home Bhooja
",3.32 Cr - 5.32 Cr,,"
in Hitech City
, Hyderabad
","
by My Home Group
",4 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1946 - 2572 sqft
(Carpet Area)
"
229,"
Udaya Cresent
",1.75 Cr Onwards,,"
in Kondapur
, Hyderabad
","
by Creative Koven Developers
",10 Floor Plan,"
3 BHK
Flat



","
Possession in 2023
","
2265 sqft
"
230,"
NSKs Platina
",55.7 Lac - 66 Lac,,"
in Miyapur, NH 9
, Hyderabad
","
by Nikhilsai Krishna Infra LLP
",6 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
900 - 1140 sqft
(Carpet Area)
"
231,"
Aparna Luxor Park
",2.02 Cr - 3.09 Cr,,"
in Kondapur
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",21 Floor Plan,"
3 BHK
Flat



","
Possession in 2023
","
1850 - 2805 sqft
(Carpet Area)
"
232,"
Golden Oriole
",87.8 Lac - 1.02 Cr,,"
in Puppalaguda
, Hyderabad
","
by Fortune Green Homes
",22 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1200 sqft
(Carpet Area)
"
233,"
Ashoka Lakeside
",85 Lac Onwards,,"
in Khaja Guda, Outer Ring Road
, Hyderabad
","
by Ashoka Developers & Builders
",3 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1335 sqft
"
234,"
Janapriya Sitara
",37 Lac - 48 Lac,,"
in Sainikpuri
, Hyderabad
","
by Janapriya Engineers Syndicate
",8 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
535 - 700 sqft
(Carpet Area)
"
235,"
Ayyappa Society
",47.5 Lac - 83.6 Lac,,"
in Madhapur
, Hyderabad
",,,"
2 BHK
Flat



","
Ready To Move
","
930 - 1205 sqft
(Carpet Area)
"
236,"
L&T Serene County
",1.17 Cr - 2 Cr,"

","
in Gachibowli
, Hyderabad
","
by L&T Realty Ltd.
",39 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1400 sqft
(Carpet Area)
"
237,"
Jyothi Cosmos
",4.60 Cr - 4.70 Cr,,"
in Hitech City
, Hyderabad
","
by Vamsiram Builders
",5 Floor Plan,"
4 BHK
Flat



","
Under Construction
","
3850 sqft
(Carpet Area)
"
238,"
Nandan Serenity
",1.25 Cr - 1.66 Cr,,"
in Velimela
, Hyderabad
","
by Mantoor Infrastructure Private Limited
",5 Floor Plan,"
3 BHK
Villa



","
Under Construction
","
1350 - 1783 sqft
(Carpet Area)
"
239,"
Vasavi Lake City
",78.4 Lac - 1.09 Cr,,"
in Hafeezpet, NH 9
, Hyderabad
","
by Vasavi Group
",6 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
800 sqft
(Carpet Area)
"
240,"
Happy Homes II
",23.1 Lac - 28 Lac,,"
in Shamirpet
, Hyderabad
","
by Bhuva Teza Infra Projects Ltd
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
788 - 1050 sqft
(Carpet Area)
"
241,"
Aparna Serene Park
",,,"
in Kondapur
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",5 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1710 sqft
"
242,"
Skanda Srinivasam
",38 Lac Onwards,,"
in Isnapur, Outer Ring Road
, Hyderabad
","
by Vedamsa Infrastructure (P) Ltd
",9 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1100 sqft
(Carpet Area)
"
243,"
Ashoka Hill Park
",60.3 Lac - 80.9 Lac,,"
in Miyapur, NH 9
, Hyderabad
","
by DNR Constructions
",7 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1230 sqft
"
244,"
Vivanta Central Court
",53 Lac - 92.3 Lac,,"
in Mokila
, Hyderabad
","
by Nikhila Constructions and Developers
",5 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1000 - 1150 sqft
(Carpet Area)
"
245,"
Aspira And Wondur
",20.6 Lac - 36.5 Lac,,"
in Isnapur, Outer Ring Road
, Hyderabad
","
by MPH Developers
",5 Floor Plan,"
1 BHK
Flat



","
Under Construction
","
378 - 464 sqft
(Carpet Area)
"
246,"
MPR Urban City
",25.3 Lac - 38 Lac,,"
in Patancheru
, Hyderabad
","
by Tranquillo Projects and Holdings Pvt. Ltd.
",2 Floor Plan,"
1 BHK
Flat



","
Possession in 2024
","
383 - 460 sqft
(Carpet Area)
"
247,"
Elegance
",58.1 Lac - 1.01 Cr,,"
in Kompally
, Hyderabad
","
by Sunyuga Infra Pvt. Ltd.
",9 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1290 sqft
"
248,"
Akshita Heights Four
",59.5 Lac Onwards,,"
in Kompally
, Hyderabad
","
by Akshita Infra
",8 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
200 sqft
(Carpet Area)
"
249,"
Mandadi Magnus
",99 Lac Onwards,,"
in Miyapur, NH 9
, Hyderabad
","
by Mandadi Constructions Pvt. Ltd.
",3 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1260 sqft
(Carpet Area)
"
250,"
Dinesh Auric
",52.5 Lac - 57.6 Lac,,"
in Bachupally
, Hyderabad
","
by Dinesh Project Pvt. Ltd.
",,"
2 BHK
Flat



","
Under Construction
","
877 - 935 sqft
(Carpet Area)
"
251,"
Parijatha Elite
",29.7 Lac Onwards,,"
in Taramatipet
, Hyderabad
",,,"
2 BHK
Flat



","
Possession in 2022
","
880 sqft
(Carpet Area)
"
252,"
Galaxy Towers
",50.5 Lac Onwards,,"
in Pocharam, NH 2 2
, Hyderabad
","
by Surya Constructions
",,"
2 BHK
Flat



","
Possession in 2022
","
1250 sqft
(Carpet Area)
"
253,"
Praneeth Pranav Town Square
",60 Lac - 96.4 Lac,,"
in Bachupally
, Hyderabad
","
by Praneeth Group
",6 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
928 - 1050 sqft
(Carpet Area)
"
254,"
Aparna Hill Park Avenues
",79 Lac - 1.15 Cr,,"
in Chandanagar, NH 9
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",23 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1275 sqft
(Carpet Area)
"
255,"
Bloomdale
",23 Lac - 32 Lac,,"
in Medchal
, Hyderabad
","
by BhuvanTeza Infrastructures LLP
",3 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
900 - 1000 sqft
(Carpet Area)
"
256,"
Sanarelli
",44 Lac - 68 Lac,,"
in Bachupally
, Hyderabad
","
by Speed Housing LLP
",3 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
800 - 1700 sqft
(Carpet Area)
"
257,"
Vasu Sri Pride
",47 Lac - 63 Lac,,"
in Gandi Maisamma, Outer Ring Road
, Hyderabad
","
by Vasu Sri Infra Projects
",5 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
900 - 1175 sqft
(Carpet Area)
"
258,"
PALM RIDGE
",8.45 Cr - 8.50 Cr,,"
in Kondapur
, Hyderabad
","
by Axon Housing Solutions Pvt. Ltd.
",24 Floor Plan,"
4 BHK
Villa



","
Under Construction
","
4290 - 4300 sqft
"
259,"
Bharatis Green Empire Heights
",29.7 Lac - 35 Lac,,"
in Bhanoor
, Hyderabad
","
by Bharati Builders Pvt. Ltd.
",7 Floor Plan,"
3 BHK
Flat



","
Possession in 2024
","
1250 - 1500 sqft
(Carpet Area)
"
260,"
Lavender Sky
",31.6 Lac - 31.7 Lac,,"
in Ghanapur
, Hyderabad
","
by Gruhitha Infra Private Limited 
",,"
2 BHK
Flat



","
Possession in 2024
","
1260 sqft
(Carpet Area)
"
261,"
Signature Fortius
",46 Lac - 47.4 Lac,,"
in Isnapur, Outer Ring Road
, Hyderabad
","
by Signature Avenues
",1 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
817 - 1210 sqft
(Carpet Area)
"
262,"
Samanvi Codename Talk Of Hyderabad
",57.1 Lac - 65.6 Lac,,"
in Bachupally
, Hyderabad
",,,"
2 BHK
Flat



","
Possession in 2023
","
780 - 923 sqft
(Carpet Area)
"
263,"
Spring Is In The Air
",41.3 Lac - 70.3 Lac,,"
in Aminpur
, Hyderabad
","
by Urbanrise
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
643 - 1254 sqft
(Carpet Area)
"
264,"
Smondo
",76 Lac - 1.15 Cr,"

","
in Gachibowli
, Hyderabad
","
by Patel Realty
",21 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
990 - 1120 sqft
"
265,"
Sahiti Sarvani Elite
",36.2 Lac - 56.5 Lac,,"
in Gangaram, Chandanagar, NH 9
, Hyderabad
","
by Sahiti Constructions
",,"
2 BHK
Flat



","
Possession in 2024
","
907 - 964 sqft
(Carpet Area)
"
266,"
Tulasi Bhagyanagar
",31.2 Lac Onwards,,"
in Dundigal, Outer Ring Road
, Hyderabad
",,,"
2 BHK
Flat



","
Possession in 2025
","
780 sqft
(Carpet Area)
"
267,"
Sri Sai Anurag New Town Phase II
",32.9 Lac - 38 Lac,,"
in Thumukunta
, Hyderabad
","
by Shree Anurag Projects
",18 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
683 sqft
(Carpet Area)
"
268,"
Urban Heights
",42 Lac Onwards,,"
in Tukkuguda, Srisailam Highway
, Hyderabad
","
by Urban Yards
",2 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1300 sqft
(Carpet Area)
"
269,"
ELV Cosmopolis
",45.4 Lac Onwards,,"
in Adibatla
, Hyderabad
","
by ELV Projects Pvt Ltd
",7 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1195 sqft
"
270,"
Nivriti
",68.8 Lac - 77.1 Lac,,"
in Miyapur, NH 9
, Hyderabad
","
by Satya Sree Developers LLP
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1005 - 1557 sqft
(Carpet Area)
"
271,"
Vasudha Apex
",59.9 Lac - 77.1 Lac,,"
in Bachupally
, Hyderabad
","
by Vasudha Developer
",,"
2 BHK
Flat



","
Under Construction
","
935 - 986 sqft
(Carpet Area)
"
272,"
White Rock
",22.3 Lac Onwards,,"
in Isnapur, Outer Ring Road
, Hyderabad
","
by MKT Praneeth Homes
",3 Floor Plan,"
1 BHK
Flat



","
Under Construction
","
368 sqft
(Carpet Area)
"
273,"
RNs Aakruti Heights
",44 Lac Onwards,,"
in Patancheru
, Hyderabad
","
by Vibhat Homes
",6 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
780 sqft
(Carpet Area)
"
274,"
ARK Homes
",54 Lac - 65 Lac,,"
in Bolarum, Medchal Road
, Hyderabad
","
by ARK Builders
",6 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1365 - 1380 sqft
"
275,"
Edifice
",59.8 Lac Onwards,,"
in Bachupally
, Hyderabad
","
by Modi Builders & Realtors Pvt Ltd
",1 Floor Plan,"
3 BHK
Flat



","
Possession in 2023
","
962 sqft
(Carpet Area)
"
276,"
Meda Prestige
",74 Lac Onwards,,"
in Miyapur, NH 9
, Hyderabad
","
by MRKR Constructions and Industries Pvt. Ltd.
",14 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1100 sqft
(Carpet Area)
"
277,"
Vertex Prime
",80 Lac Onwards,,"
in Kukatpally, NH 9
, Hyderabad
","
by Vertex Homes Pvt. Ltd.
",15 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
900 sqft
(Carpet Area)
"
278,"
Sri Hemadurga Sivhills
",88.4 Lac Onwards,"

","
in Gachibowli
, Hyderabad
","
by BRC Infra Pvt. Ltd.
",17 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1230 sqft
"
279,"
Trendset Jayabheri Elevate
",4 Cr Onwards,,"
in Kondapur
, Hyderabad
","
by Trendset Builders
",,"
4 BHK
Flat



","
Under Construction
","
4015 sqft
"
280,"
VIVA City
",98.3 Lac - 1.92 Cr,,"
in Kondapur
, Hyderabad
","
by Indis
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1103 - 1475 sqft
(Carpet Area)
"
281,"
Chitrapuri Colony
",23.5 Lac - 24 Lac,,"
in Manikonda, Outer Ring Road
, Hyderabad
",,,"
1 BHK
Flat



","
Ready To Move
","
349 - 465 sqft
(Carpet Area)
"
282,"
My Home Avatar
",1.20 Cr - 1.23 Cr,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by My Home Group
",,"
2 BHK
Flat



","
Ready To Move
","
1050 sqft
(Carpet Area)
"
283,"
My Home Vihanga
",1.07 Cr - 1.47 Cr,,"
in Gachibowli
, Hyderabad
","
by My Home Constructions Pvt. Ltd.
",20 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1275 sqft
"
284,"
EEco Valley
",55 Lac Onwards,"

","
in Chandanagar, NH 9
, Hyderabad
","
by Srija Builders & Developers
",17 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
990 sqft
(Carpet Area)
"
285,"
Jewel Gardens
",57 Lac - 1 Cr,,"
in Miyapur, NH 9
, Hyderabad
","
by Gemini Constructions
",7 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
700 sqft
(Carpet Area)
"
286,"
Adityas Silicon Heights
",87 Lac Onwards,,"
in Tellapur, Outer Ring Road
, Hyderabad
","
by Aditya Construction Company India Pvt. Ltd.
",12 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1550 sqft
"
287,"
Esmeralda Fortune
",14 Cr Onwards,,"
in Kondapur
, Hyderabad
","
by Sri Sreenivasa Constructions
",25 Floor Plan,"
4 BHK
Villa



","
Ready To Move
","
6110 sqft
"
288,"
Janapriya Nile Valley
",50 Lac - 65 Lac,,"
in Miyapur, NH 9
, Hyderabad
","
by Panchajanya Constructions Pvt. Ltd.
",15 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1000 - 1010 sqft
(Carpet Area)
"
289,"
Manjeera Diamond Towers
",90 Lac Onwards,"

","
in Gachibowli
, Hyderabad
","
by Manjeera Construction
",49 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1300 sqft
(Carpet Area)
"
290,"
Rajiv Swagruha
",37 Lac Onwards,,"
in Chandanagar, NH 9
, Hyderabad
","
by AP Rajivswagruha Corporation Ltd.
",6 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
696 sqft
(Carpet Area)
"
291,"
Skypx Gardens
",60 Lac Onwards,,"
in Chandanagar, NH 9
, Hyderabad
","
by SKYPX Builders Pvt. Ltd.
",10 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1071 sqft
"
292,"
Nayans Nature Springs
",72.5 Lac - 97 Lac,,"
in Kukatpally, NH 9
, Hyderabad
","
by Nayan Constructions
",11 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
965 sqft
(Carpet Area)
"
293,"
Creative Meadows
",76.9 Lac - 79 Lac,,"
in Gachibowli
, Hyderabad
",,,"
2 BHK
Flat



","
Under Construction
","
1200 sqft
(Carpet Area)
"
294,"
Canny IRIS
",89 Lac - 92 Lac,,"
in Kondapur
, Hyderabad
","
by Canny Life Spaces Pvt Ltd
",2 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1475 sqft
"
295,"
Prasiddh Nivas
",1.06 Cr Onwards,,"
in Kondapur
, Hyderabad
",,,"
3 BHK
Flat



","
Possession in 2024
","
1500 sqft
(Carpet Area)
"
296,"
Bhavyas Tulasi Vanam
",78 Lac - 1.26 Cr,,"
in Kukatpally, NH 9
, Hyderabad
","
by Bhavya Constructions
",10 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
700 - 1035 sqft
(Carpet Area)
"
297,"
Lansum Eden Gardens
",1.21 Cr - 1.75 Cr,,"
in Kondapur
, Hyderabad
","
by Lansum Properties LLP
",8 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1324 - 2160 sqft
(Carpet Area)
"
298,"
DSR The First
",8.50 Cr - 9.50 Cr,,"
in Gachibowli
, Hyderabad
",,,"
4 BHK
Flat



","
Possession in 2023
","
5000 - 5500 sqft
(Carpet Area)
"
299,"
Aarambh Township
",20.5 Lac - 36 Lac,,"
in Chandanagar, NH 9
, Hyderabad
","
by AP Rajivswagruha Corporation Ltd.
",4 Floor Plan,"
1 BHK
Flat



","
Ready To Move
","
425 sqft
(Carpet Area)
"
300,"
Niharika Interlake
",1.80 Cr - 1.95 Cr,,"
in Manikonda, Outer Ring Road
, Hyderabad
","
by Niharika Projects
",,"
3 BHK
Flat



","
Under Construction
","
1700 - 2000 sqft
(Carpet Area)
"
301,"
Poulomi 90
",2.05 Cr - 2.25 Cr,,"
in Kokapet, Outer Ring Road
, Hyderabad
","
by Poulomi Estates Pvt. Ltd.
",,"
3 BHK
Flat



","
Under Construction
","
2100 - 2300 sqft
(Carpet Area)
"
302,"
PVR Urban Life
",2.80 Cr - 3.22 Cr,,"
in Mokila
, Hyderabad
","
by PVR Developers
",4 Floor Plan,"
4 BHK
Villa



","
Under Construction
","
3755 sqft
(Carpet Area)
"
303,"
Lake Front
",2.57 Cr - 3.25 Cr,,"
in Gandipet
, Hyderabad
","
by NN Infra and Constructions
",2 Floor Plan,"
3 BHK
Villa



","
Possession in 2022
","
3560 sqft
(Carpet Area)
"
304,"
Ira Miracle
",79.4 Lac - 89 Lac,,"
in Kollur, Outer Ring Road
, Hyderabad
","
by IRA Realty
",4 Floor Plan,"
3 BHK
Flat



","
Possession in 2023
","
1241 - 1590 sqft
(Carpet Area)
"
305,"
Prestige Tranquil
",97.3 Lac - 1.75 Cr,,"
in Kokapet, Outer Ring Road
, Hyderabad
","
by Prestige Group
",5 Floor Plan,"
3 BHK
Flat



","
Possession in 2024
","
894 - 2048 sqft
(Carpet Area)
"
306,"
Golden Homes Sathya Devaki Residency
",64 Lac - 75 Lac,,"
in LB Nagar, NH 9
, Hyderabad
","
by Golden Homes
",,"
2 BHK
Flat



","
Possession in 2022
","
1030 sqft
(Carpet Area)
"
307,"
Emerald Heights
",81.4 Lac Onwards,,"
in Bachupally
, Hyderabad
","
by Syamantaka Infra
",5 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1040 sqft
(Carpet Area)
"
308,"
Vasavi Sri Nilayam
",85 Lac Onwards,,"
in LB Nagar, NH 9
, Hyderabad
","
by Vasavi Group
",4 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1000 sqft
(Carpet Area)
"
309,"
Jaswitha Luxor
",1.09 Cr - 1.30 Cr,,"
in Kokapet, Outer Ring Road
, Hyderabad
","
by Jaswitha Constructions
",8 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1525 - 1980 sqft
(Carpet Area)
"
310,"
My Home Krishe
",1.16 Cr - 2.65 Cr,,"
in Nanakram Guda
, Hyderabad
","
by My Home Group
",,"
2 BHK
Flat



","
Possession in 2024
","
917 sqft
(Carpet Area)
"
311,"
SSD Ananda Nilayam
",68 Lac Onwards,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by Sree Surya Developers
",4 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1094 sqft
"
312,"
Emerald Greens
",1.06 Cr - 1.42 Cr,,"
in Kompally
, Hyderabad
","
by Srinivasa Constructions
",9 Floor Plan,"
3 BHK
Flat



","
Possession in 2023
","
2360 - 3026 sqft
(Carpet Area)
"
313,"
Raheja Vistas
",73 Lac Onwards,,"
in Nacharam
, Hyderabad
","
by K Raheja Corp
",31 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1355 sqft
"
314,"
Sky High
",4.40 Cr - 4.50 Cr,,"
in Film Nagar
, Hyderabad
","
by Harshal Developers
",,"
4 BHK
Flat



","
Possession in 2023
","
3500 - 3600 sqft
(Carpet Area)
"
315,"
Park Ville
",83 Lac - 1.25 Cr,,"
in Tellapur, Outer Ring Road
, Hyderabad
","
by Madhu Infrastructure Pvt. Ltd.
",8 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
950 sqft
(Carpet Area)
"
316,"
Gem Estrella Kuber
",3.50 Cr - 3.60 Cr,,"
in Kollur, Outer Ring Road
, Hyderabad
","
by Gem Vivendas
",,"
4 BHK
Villa



","
Under Construction
","
3500 sqft
(Carpet Area)
"
317,"
Alpine Square
",60.8 Lac Onwards,,"
in Patancheru
, Hyderabad
",,,"
3 BHK
Flat



","
Possession in 2026
","
1225 sqft
(Carpet Area)
"
318,"
GSR Luxury Villas
",99 Lac - 2.10 Cr,,"
in Kollur, Outer Ring Road
, Hyderabad
","
by GSR Infra Group
",,"
3 BHK
Villa



","
Possession in 2024
","
300 - 1800 sqft
(Carpet Area)
"
319,"
Alpine Vistas
",1.10 Cr - 1.30 Cr,,"
in Patancheru
, Hyderabad
",,,"
3 BHK
Villa



","
Possession in 2022
","
1950 - 2008 sqft
(Carpet Area)
"
320,"
The Classe
",2.49 Cr - 2.99 Cr,,"
in Kokapet, Outer Ring Road
, Hyderabad
",,,"
4 BHK
Flat



","
Possession in 2025
","
3333 sqft
"
321,"
Civitas
",73.5 Lac Onwards,,"
in Sanath Nagar, NH 9
, Hyderabad
","
by Saanvee Group
",7 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1167 sqft
(Carpet Area)
"
322,"
Nebula Aavaas
",27 Lac - 55.4 Lac,,"
in Miyapur, NH 9
, Hyderabad
",,,"
1 BHK
Flat



","
Ready To Move
","
607 sqft
"
323,"
Tripura Galaxy
",65 Lac - 65.5 Lac,,"
in Tellapur, Outer Ring Road
, Hyderabad
","
by Tripura Constructions
",,"
2 BHK
Flat



","
Under Construction
","
968 sqft
(Carpet Area)
"
324,"
Swagath Merry
",69.6 Lac - 70.8 Lac,,"
in Gopanapalli
, Hyderabad
",,,"
3 BHK
Flat



","
Possession in 2025
","
1090 - 1140 sqft
(Carpet Area)
"
325,"
Aparna Cyberscape
",92 Lac Onwards,,"
in Nallagandla, Serilingampally
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",6 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1335 sqft
(Carpet Area)
"
