,companies,prices,ratings,locations,published_by,floors,bedrooms,construction_status,Area_sq_ft
326,"
Surabhis Signature Villas
",2 Cr - 2.10 Cr,,"
in Tellapur, Outer Ring Road
, Hyderabad
","
by Surabhi Estates Pvt Ltd
",2 Floor Plan,"
3 BHK
Villa



","
Under Construction
","
1600 sqft
(Carpet Area)
"
327,"
Gar Amali
",3.89 Cr - 4.19 Cr,,"
in Banjara Hills, NH 9
, Hyderabad
","
by GAR Corps
",5 Floor Plan,"
4 BHK
Flat



","
Under Construction
","
3545 - 3813 sqft
"
328,"
Total Environment The Meadow Dance Phase II
",3.90 Cr Onwards,,"
in Rajendra Nagar, Outer Ring Road
, Hyderabad
","
by Total Environment
",,"
3 BHK
Villa



","
Possession in 2025
","
3243 sqft
"
329,"
Mayura
",65.6 Lac - 94.9 Lac,,"
in Bachupally
, Hyderabad
","
by Fortune Green Homes
",6 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
895 - 1210 sqft
(Carpet Area)
"
330,"
Reliance Paradise
",58 Lac - 77 Lac,"

","
in Kondapur
, Hyderabad
","
by Reliance Builders
",17 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
900 - 919 sqft
(Carpet Area)
"
331,"
Manbhum Home Tree
",65.1 Lac - 68.7 Lac,,"
in Kompally
, Hyderabad
","
by Manbhum Construction Co. Pvt. Ltd.
",9 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
943 - 1080 sqft
(Carpet Area)
"
332,"
Rr Village Pointe
",94.3 Lac - 98.7 Lac,,"
in Alkapur Township, Manikonda, Outer Ring Road
, Hyderabad
","
by RR Builders
",,"
3 BHK
Flat



","
Under Construction
","
1500 sqft
(Carpet Area)
"
333,"
Lodha Meridian
",1.05 Cr - 1.90 Cr,"

","
in Kukatpally Housing Board Colony, NH 9
, Hyderabad
","
by Lodha Group
",12 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1276 - 1476 sqft
(Carpet Area)
"
334,"
Frontline Seven
",87.3 Lac - 1.52 Cr,,"
in Gandipet
, Hyderabad
","
by Frontline Builder And Developers
",,"
2 BHK
Flat



","
Possession in 2024
","
839 sqft
(Carpet Area)
"
335,"
Ramky One Harmony
",63.8 Lac - 1.03 Cr,,"
in Pragathi Nagar, Kukatpally
, Hyderabad
","
by Ramky Srisairam Properties Private Limited
",13 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
700 - 950 sqft
(Carpet Area)
"
336,"
Gem Nakshathra
",78.7 Lac - 1.12 Cr,,"
in Kokapet, Outer Ring Road
, Hyderabad
","
by Gem Vivendas
",5 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1050 sqft
(Carpet Area)
"
337,"
JNS INFRA Hill View
",1.07 Cr - 1.10 Cr,,"
in Mallampet, Outer Ring Road
, Hyderabad
",,,"
3 BHK
Villa



","
Under Construction
","
1850 sqft
(Carpet Area)
"
338,"
Sanvis Kowsalya Manidweepam
",65 Lac - 70.4 Lac,,"
in Bachupally
, Hyderabad
","
by Sanvi Infra Projects Pvt. Ltd.
",,"
2 BHK
Flat



","
Possession in 2023
","
957 - 995 sqft
(Carpet Area)
"
339,"
Suja Elysian
",68 Lac - 73 Lac,,"
in Pragathi Nagar, Kukatpally
, Hyderabad
","
by Svadha Builders
",9 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
10764 sqft
(Carpet Area)
"
340,"
KT Residency
",71.9 Lac Onwards,,"
in Peeramcheru
, Hyderabad
",,,"
2 BHK
Flat



","
Possession in 2024
","
1382 sqft
(Carpet Area)
"
341,"
Modi Splendour
",90 Lac Onwards,"

","
in Kukatpally, NH 9
, Hyderabad
","
by Modi Builders
",18 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
966 sqft
"
342,"
Jahanavis My Homes
",90 Lac Onwards,,"
in Manikonda, Outer Ring Road
, Hyderabad
","
by Civil Seva
",2 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1595 sqft
"
343,"
Qualitas Nestilo
",,,"
in Tellapur, Outer Ring Road
, Hyderabad
",,,"
3 BHK
Flat



","
Possession in 2024
","
1580 sqft
"
344,"
Aparna CyberZon
",92 Lac - 95 Lac,"

","
in Nallagandla, Serilingampally
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",11 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1245 sqft
(Carpet Area)
"
345,"
Aparna Sarovar
",1.01 Cr - 1.30 Cr,,"
in Nallagandla, Serilingampally
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",2 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1490 - 1800 sqft
(Carpet Area)
"
346,"
Aalaya Aspire
",61.4 Lac Onwards,,"
in Bachupally
, Hyderabad
","
by Aalaya Constructions
",,"
2 BHK
Flat



","
Under Construction
","
960 sqft
(Carpet Area)
"
347,"
Ramky One Galaxia Phase 2
",84.1 Lac - 84.1 Lac,,"
in Nallagandla, Serilingampally
, Hyderabad
","
by Ramky Estates & Farms Limited
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
920 sqft
(Carpet Area)
"
348,"
Harsha Sky High
",3.87 Cr Onwards,,"
in Shaikpet
, Hyderabad
","
by PRS Build India Pvt Ltd
",,"
4 BHK
Flat



","
Possession in 2023
","
3870 sqft
"
349,"
Ozone Heights Osman Nagar
",1.42 Cr Onwards,,"
in Osman Nagar
, Hyderabad
","
by Ananda Homes
",,"
3 BHK
Flat



","
Under Construction
","
2828 sqft
"
350,"
The Perch
",2.72 Cr - 3.15 Cr,,"
in Tellapur, Outer Ring Road
, Hyderabad
",,,"
3 BHK
Villa



","
Under Construction
","
2692 sqft
"
351,"
Jubilee Hills Complex
",4.90 Cr - 4.99 Cr,,"
in Jubilee Hills
, Hyderabad
","
by Sahiti Constructions
",,"
4 BHK
Flat



","
Under Construction
","
3500 - 3650 sqft
(Carpet Area)
"
352,"
Samruddi
",1.50 Cr Onwards,,"
in Padmarao Nagar, Hyderabad-Karimnagar Highway
, Hyderabad
","
by Vijetha Dhanalaxmi Projects
",4 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1380 sqft
(Carpet Area)
"
353,"
Nature City
",1.60 Cr Onwards,,"
in Bowrampet, Outer Ring Road
, Hyderabad
","
by Vajra Builders And Developers
",1 Floor Plan,"
4 BHK
Villa



","
Possession in 2022
","
2295 sqft
"
354,"
Eenadu Homes
",60 Lac - 1.10 Cr,,"
in Kukatpally, NH 9
, Hyderabad
","
by Nagarjuna Construction Company
",,"
2 BHK
Flat



","
Ready To Move
","
1025 sqft
"
355,"
Uber Heights Project
",98 Lac Onwards,,"
in Kondapur
, Hyderabad
","
by Celebrity Prime Developers
",15 Floor Plan,"
3 BHK
Flat



","
Ongoing
","
1248 sqft
"
356,"
Aditya Sunshine
",2.05 Cr - 4.50 Cr,"

","
in Hitech City
, Hyderabad
","
by Sri Aditya Homes Pvt. Ltd.
",12 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
2240 sqft
(Carpet Area)
"
357,"
Muppas Aishwarya Condos
",26 Lac - 85 Lac,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by Muppa Homes Pvt. Ltd.
",17 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
800 - 1160 sqft
(Carpet Area)
"
358,"
Armsburg My Space
",42 Lac - 85 Lac,"

","
in Kompally
, Hyderabad
","
by Armsburg Properties
",25 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
900 - 1285 sqft
(Carpet Area)
"
359,"
SMR Vinay City
",75 Lac Onwards,,"
in Miyapur, NH 9
, Hyderabad
","
by SMR Holdings
",10 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1225 sqft
"
360,"
Aparna HillPark Lake Breeze
",1.30 Cr - 1.35 Cr,"

","
in Chandanagar, NH 9
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",19 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1695 - 1825 sqft
"
361,"
Saket Pranaam
",40 Lac Onwards,,"
in Saket, Secunderabad
, Hyderabad
","
by Saket Developers
",10 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1156 sqft
"
362,"
Siri Balaji Towers
",55 Lac - 70 Lac,,"
in Nizampet
, Hyderabad
","
by Siri balaji constructions
",4 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1061 - 1210 sqft
(Carpet Area)
"
363,"
ARK Towers
",65 Lac - 85 Lac,,"
in Miyapur, NH 9
, Hyderabad
","
by ARK Group
",42 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
945 sqft
(Carpet Area)
"
364,"
RV Manyatha
",70 Lac Onwards,,"
in Chandanagar, NH 9
, Hyderabad
","
by R V Nirmaan Pvt. Ltd.
",25 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1255 sqft
"
365,"
Janapriya Arcadia
",25 Lac - 38 Lac,,"
in Alwal
, Hyderabad
","
by Janapriya Engineers Syndicate
",23 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
925 - 1200 sqft
"
366,"
Janapriya Utopia 1
",40 Lac Onwards,,"
in Attapur
, Hyderabad
","
by Janapriya Engineers Syndicate
",,"
2 BHK
Flat



","
Ready To Move
","
940 sqft
"
367,"
Vasathi Navya
",45 Lac - 60 Lac,,"
in Chintal, NH 7
, Hyderabad
","
by Vasathi Housing
",16 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
785 - 990 sqft
(Carpet Area)
"
368,"
Happy Home Fortuna
",60 Lac Onwards,,"
in Attapur
, Hyderabad
","
by Happy Home Housing
",19 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1374 sqft
"
369,"
RV Avaneendra
",80 Lac - 1.05 Cr,,"
in Miyapur, NH 9
, Hyderabad
","
by R V Nirmaan Pvt. Ltd.
",65 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1360 sqft
(Carpet Area)
"
370,"
Hemadurga Towers
",95 Lac Onwards,,"
in Miyapur, NH 9
, Hyderabad
","
by BRC Infra Pvt. Ltd.
",9 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1645 sqft
(Carpet Area)
"
371,"
My Homes Navadweepa
",1.25 Cr - 1.97 Cr,"

","
in Hitech City
, Hyderabad
","
by My Home Constructions Pvt. Ltd
",6 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1200 sqft
(Carpet Area)
"
372,"
Modi Gulmohar Gardens Phase 1
",35 Lac - 50 Lac,,"
in Mallapur
, Hyderabad
","
by Modi Properties
",10 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
750 - 975 sqft
"
373,"
Sri Tirumala Harmony
",45 Lac Onwards,,"
in Dr A.S. Rao Nagar
, Hyderabad
","
by EAPL Group
",20 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
999 sqft
"
374,"
Yashoda Sannidhi
",78 Lac Onwards,"

","
in Miyapur, NH 9
, Hyderabad
","
by Yashoda Builders & Developers
",9 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1200 sqft
(Carpet Area)
"
375,"
West Metro Lake Front Apartments
",90 Lac - 100 Lac,,"
in Chandanagar, NH 9
, Hyderabad
","
by Shriya Infrastructure India Pvt. Ltd.
",10 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1760 sqft
(Carpet Area)
"
376,"
Concrete Melody
",1 Cr Onwards,,"
in Chandanagar, NH 9
, Hyderabad
","
by Concrete Constructions
",11 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1630 sqft
"
377,"
Neelima Greens
",1.90 Cr Onwards,,"
in Miyapur, NH 9
, Hyderabad
","
by Raghavendra Neelima Constructions
",,"
3 BHK
Villa



","
Ready To Move
","
1900 sqft
"
378,"
Vasathi Anandi
",48 Lac - 60 Lac,"

","
in Appa junction
, Hyderabad
","
by Vasathi Housing Ltd.
",14 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
862 - 1085 sqft
(Carpet Area)
"
379,"
Modi Paramount Avenue
",46 Lac Onwards,,"
in Nagaram
, Hyderabad
","
by Modi Builders
",,"
2 BHK
Flat



","
Ready To Move
","
900 sqft
(Carpet Area)
"
380,"
Srinivas Heights
",60 Lac Onwards,,"
in Uppal, NH 2 2
, Hyderabad
","
by SH Group
",,"
3 BHK
Flat



","
Ready To Move
","
1560 sqft
"
381,"
East Oak Luxury Apartments
",60 Lac Onwards,,"
in Pocharam, NH 2 2
, Hyderabad
","
by Sai Sandeep Infra Projects
",4 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1205 sqft
"
382,"
HSR Amrut Akash
",60 Lac Onwards,"

","
in LB Nagar, NH 9
, Hyderabad
","
by HSR Ventures Pvt. Ltd.
",10 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1000 sqft
(Carpet Area)
"
383,"
Mahadev Towers
",90 Lac Onwards,,"
in Attapur
, Hyderabad
","
by Rami Reddy Constructions
",15 Floor Plan,"
3 BHK
Flat



","
Ongoing
","
1500 sqft
"
384,"
Gem Ascentia
",1.30 Cr Onwards,,"
in Hitech City
, Hyderabad
","
by Gem Vivendas
",12 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1585 sqft
"
385,"
Central Park
",58.9 Lac - 69.1 Lac,,"
in Gajularamaram
, Hyderabad
","
by S.R Developers
",,"
2 BHK
Flat



","
Ready To Move
","
940 sqft
(Carpet Area)
"
386,"
Vallabha Residency
",54.1 Lac Onwards,,"
in Gajularamaram
, Hyderabad
","
by Kiran Projects
",8 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
825 sqft
(Carpet Area)
"
387,"
Aparna Hill park Silver oaks
",1.23 Cr Onwards,,"
in Chandanagar, NH 9
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",,"
3 BHK
Flat



","
Ready To Move
","
1665 sqft
(Carpet Area)
"
388,"
NCL Godavari
",48.5 Lac Onwards,,"
in Kompally
, Hyderabad
","
by NCL Homes Ltd.
",,"
2 BHK
Flat



","
Ready To Move
","
1000 sqft
(Carpet Area)
"
389,"
Brs Subha Nilayam
",55 Lac Onwards,,"
in Gajularamaram
, Hyderabad
","
by Incredible Life Spaces
",3 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
400 sqft
(Carpet Area)
"
390,"
The Square
",73.5 Lac - 75 Lac,,"
in Miyapur, NH 9
, Hyderabad
","
by Elite Developers
",11 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1245 sqft
"
391,"
Sanskruti Singapore Township
",41 Lac - 55 Lac,,"
in Ghatkesar, NH 2 2
, Hyderabad
","
by Sanskaar Builders & Developers
",,"
2 BHK
Flat



","
Ready To Move
","
1000 - 1136 sqft
(Carpet Area)
"
392,"
Modi Emerald Heights
",26 Lac - 60 Lac,,"
in Pocharam, NH 2 2
, Hyderabad
","
by Modi Builders
",3 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
746 - 900 sqft
(Carpet Area)
"
393,"
Meghadri Heights
",55 Lac Onwards,,"
in Yapral
, Hyderabad
",,,"
3 BHK
Flat



","
Ready To Move
","
1660 sqft
(Carpet Area)
"
394,"
Babukhan Solitaire
",99.4 Lac - 1.06 Cr,,"
in Gachibowli
, Hyderabad
","
by Babukhan Properties
",28 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1325 - 1342 sqft
"
395,"
Luxor Apartments
",73.5 Lac - 1.20 Cr,"

","
in Kondapur
, Hyderabad
","
by Trishala Infrastructure Pvt. Ltd.
",24 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
780 sqft
(Carpet Area)
"
396,"
Ramky Towers
",2 Cr - 2.15 Cr,"

","
in Gachibowli
, Hyderabad
","
by Ramky Estates & Farms Limited
",18 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
2400 sqft
(Carpet Area)
"
397,"
Vrushabadri Residency
",56 Lac - 57 Lac,,"
in Aminpur
, Hyderabad
",,,"
2 BHK
Flat



","
Ready To Move
","
1064 sqft
(Carpet Area)
"
398,"
Trendset Winz
",2.15 Cr - 2.66 Cr,,"
in Gachibowli
, Hyderabad
","
by Trendset Builders
",12 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
2525 sqft
(Carpet Area)
"
399,"
Trident Towers
",3.50 Cr - 4 Cr,,"
in Gachibowli
, Hyderabad
","
by Meenakshi Group
",15 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
3050 sqft
(Carpet Area)
"
400,"
Shanthi Gardens
",,,"
in Nacharam
, Hyderabad
","
by Mukhi Constructions
",,"
3 BHK
Flat



","
Ready To Move
","
1300 sqft
(Carpet Area)
"
401,"
SSK Platinums
",26.5 Lac - 27 Lac,,"
in Bachupally
, Hyderabad
","
by SSK Infra
",,"
1 BHK
Flat



","
Ready To Move
","
650 sqft
(Carpet Area)
"
402,"
Trendset Rythme
",1.05 Cr - 1.72 Cr,,"
in Kondapur
, Hyderabad
","
by Trendset Builders
",10 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
912 sqft
(Carpet Area)
"
403,"
SMR Vinay Symphony
",1.12 Cr - 1.42 Cr,"

","
in Gachibowli
, Hyderabad
","
by SMR Holdings
",14 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1690 - 2015 sqft
"
404,"
Golf Edge
",1.16 Cr - 2.79 Cr,"

","
in Gachibowli
, Hyderabad
","
by Phoenix Group Holdings
",30 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1428 sqft
"
405,"
Mantri Celestia
",72 Lac - 98 Lac,"

","
in Gachibowli
, Hyderabad
","
by Mantri Developers Pvt. Ltd.
",14 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
680 sqft
(Carpet Area)
"
406,"
Modi Paramount Avenue
",26 Lac Onwards,,"
in Nagaram
, Hyderabad
","
by Modi Properties
",,"
1 BHK
Flat



","
Ready To Move
","
540 sqft
"
407,"
Urban Lake Front
",27 Lac Onwards,,"
in Neknampur, Manikonda, Outer Ring Road
, Hyderabad
",,,"
Studio Apartment



","
Ready To Move
","
380 sqft
(Carpet Area)
"
408,"
Shriya Serenity
",80 Lac - 1.05 Cr,,"
in Gachibowli
, Hyderabad
","
by Shriya Constructions
",18 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1165 - 1265 sqft
"
409,"
Vajras Sree Nivasam
",90 Lac - 1.28 Cr,,"
in Kondapur
, Hyderabad
","
by Vajra Group
",25 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1205 sqft
"
410,"
Manjeera Majestic Homes
",90 Lac - 1.05 Cr,"

","
in Kukatpally, NH 9
, Hyderabad
","
by Manjeera Construction
",18 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1058 sqft
(Carpet Area)
"
411,"
Tulip Le Park
",1.10 Cr Onwards,,"
in Kondapur
, Hyderabad
","
by Namishree Infrastructure and Projects Pvt. Ltd.
",8 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1533 sqft
"
412,"
Fortune Towers
",2.60 Cr Onwards,,"
in Gachibowli
, Hyderabad
","
by Sri Sreenivasa Constructions
",,"
3 BHK
Flat



","
Ready To Move
","
2640 sqft
"
413,"
Cyber Meadows
",4.80 Cr Onwards,,"
in Kondapur
, Hyderabad
","
by Kanishka Builders
",6 Floor Plan,"
4 BHK
Villa



","
Ready To Move
","
4000 sqft
"
414,"
Happy Homes Plaza
",31.1 Lac Onwards,,"
in Attapur
, Hyderabad
","
by Happy Home Housing
",,"
2 BHK
Flat



","
Ready To Move
","
700 sqft
(Carpet Area)
"
415,"
Icon Towers
",55 Lac - 56 Lac,,"
in Shilpa Nagar, Secunderabad
, Hyderabad
",,,"
2 BHK
Flat



","
Ready To Move
","
950 sqft
(Carpet Area)
"
416,"
Footprints
",85 Lac - 86 Lac,,"
in Gachibowli
, Hyderabad
","
by Alekhya Homes
",14 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1160 sqft
(Carpet Area)
"
417,"
Kollur
",40 Lac - 60 Cr,,"
in Kollur, Outer Ring Road
, Hyderabad
","
by SS Infra Developers
",,"
2 BHK
Flat



","
Ready To Move
","
1250 sqft
"
418,"
Meenakshi Sky Lounge
",2.40 Cr - 4 Cr,"

","
in Kondapur
, Hyderabad
","
by Meenakshi Group
",28 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1980 - 2010 sqft
(Carpet Area)
"
419,"
Tree Walk
",1.38 Cr - 1.85 Cr,"

","
in Kondapur
, Hyderabad
","
by SVC Ventures Pvt. Ltd.
",4 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1825 - 1952 sqft
(Carpet Area)
"
420,"
Aditya DSR LakeSide
",1.45 Cr - 1.80 Cr,"

","
in Gachibowli
, Hyderabad
","
by DSR Group
",18 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1785 - 2385 sqft
(Carpet Area)
"
421,"
Sterling Heights
",52 Lac Onwards,,"
in Gundlapochampally, Outer Ring Road
, Hyderabad
","
by Modi Builders
",4 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1150 sqft
(Carpet Area)
"
422,"
Manasa Apartment
",60 Lac Onwards,,"
in Begumpet
, Hyderabad
","
by Manasa Builders and Developers
",10 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
900 sqft
(Carpet Area)
"
423,"
RV Akshobhya
",63.1 Lac Onwards,,"
in Bandlaguda Jagir
, Hyderabad
","
by R.V. Nirmaan Pvt. Ltd.
",2 Floor Plan,"
2 BHK
Flat



","
Ongoing
","
1213 sqft
"
424,"
Shubham Blooms
",75 Lac Onwards,,"
in Gachibowli
, Hyderabad
","
by Sanvi Property Developers
",17 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1000 sqft
(Carpet Area)
"
425,"
Central Paradise
",78 Lac Onwards,,"
in Gachibowli
, Hyderabad
","
by Laqshya Infradevelopers India Pvt. Ltd.
",29 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1097 sqft
(Carpet Area)
"
426,"
Giridhari Executive Park Phase I
",85 Lac Onwards,,"
in Gachibowli
, Hyderabad
","
by Giridhari Constructions
",4 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1250 sqft
"
427,"
Bloomfield Elation Towers
",93 Lac Onwards,,"
in Gachibowli
, Hyderabad
","
by Vasudeva Realtors (P) Ltd.
",,"
2 BHK
Flat



","
Ready To Move
","
1320 sqft
"
428,"
Meadow Land
",1.05 Cr Onwards,,"
in Kukatpally, NH 9
, Hyderabad
","
by RCC Frame Structure
",6 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1435 sqft
"
429,"
Vaibhavs Signature
",1.10 Cr Onwards,,"
in Gachibowli
, Hyderabad
","
by Vaibhav Infra
",6 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1450 sqft
"
430,"
Gamuts Creative Abode
",1.20 Cr Onwards,,"
in Kondapur
, Hyderabad
","
by Gamut Infra
",14 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1500 sqft
(Carpet Area)
"
431,"
Pranavas Lotus Park
",1.20 Cr Onwards,,"
in Kondapur
, Hyderabad
","
by Pranava Avenues Pvt. Ltd.
",32 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
2031 sqft
(Carpet Area)
"
432,"
Vaishnavi Heights
",92 Lac - 1.13 Cr,,"
in Kondapur
, Hyderabad
","
by Vaishnavi Projects
",,"
3 BHK
Flat



","
Ready To Move
","
1828 sqft
(Carpet Area)
"
433,"
Sterling Whitefield
",1.25 Cr - 1.35 Cr,,"
in Kondapur
, Hyderabad
","
by Patil Project Ltd.
",,"
3 BHK
Flat



","
Ready To Move
","
1668 - 1600 sqft
(Carpet Area)
"
434,"
AK Heights Two
",1.20 Cr - 1.30 Cr,,"
in Kondapur
, Hyderabad
","
by Akshita Infra
",4 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1600 - 1660 sqft
(Carpet Area)
"
435,"
Aditya Green Fields
",1.35 Cr - 1.60 Cr,,"
in Kondapur
, Hyderabad
","
by Aditya Developers
",5 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
2500 sqft
"
436,"
SVC Aquaria
",3.80 Cr Onwards,,"
in Kondapur
, Hyderabad
","
by SVC Ventures Pvt. Ltd.
",2 Floor Plan,"
4 BHK
Flat



","
Ready To Move
","
4080 sqft
(Carpet Area)
"
437,"
Sri Sri Gokulam
",84 Lac Onwards,,"
in Kondapur
, Hyderabad
","
by Abhi Teja Constructions
",17 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1370 sqft
"
438,"
Aditya Windsor
",1.85 Cr Onwards,,"
in Kondapur
, Hyderabad
","
by Aditya Construction Company India Pvt. Ltd.
",10 Floor Plan,"
4 BHK
Flat



","
Ready To Move
","
2692 sqft
(Carpet Area)
"
